RK,TIERS,PLAYER NAME,TEAM,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
141,10,Jake Ferguson,DAL,TE17,26,124,193,144.9,20.6,-
142,10,Jonnu Smith,PIT,TE18,29,99,179,147.3,21.5,-
143,10,Jaylen Warren,PIT,RB37,26,109,175,149.2,16.8,-
144,10,Rhamondre Stevenson,NE,RB38,27,112,195,152.8,18.9,-
145,10,Christian Kirk,HOU,WR60,28,126,181,152.9,14.1,-
146,10,Mason Taylor,NYJ,TE19,21,123,221,152.9,22,-
147,10,Rashod Bateman,BAL,WR61,25,136,198,153.1,15.3,-
148,10,Cedric Tillman,CLE,WR62,25,121,199,155,18.3,-
149,10,Rachaad White,TB,RB39,26,124,190,156.9,14.8,-
150,10,Pat Freiermuth,PIT,TE20,26,102,195,158.4,23.8,-
151,10,Romeo Doubs,GB,WR63,25,138,190,159.2,12.5,-
152,10,Bhayshul Tuten,JAC,RB40,23,82,180,141.4,25.8,-
153,10,Javonte Williams,DAL,RB41,25,124,189,160.2,15.6,-
154,10,Jaylin Noel,HOU,WR64,22,122,296,160.3,38,-
155,10,Xavier Legette,CAR,WR65,24,135,215,163.4,17.4,-
156,10,Tyjae Spears,TEN,RB42,24,127,228,164.3,22.4,-
157,10,Marvin Mims Jr.,DEN,WR66,23,131,210,156.6,19.1,-
158,10,Elijah Arroyo,SEA,TE21,22,126,240,165.1,26.7,-
159,10,Marquise Brown,KC,WR67,28,140,197,166.1,16.4,-
160,10,Jordan Mason,MIN,RB43,26,131,223,166.9,21.5,-
161,10,Tank Bigsby,JAC,RB44,22,123,216,167.4,21.6,-
162,10,Terrance Ferguson,LAR,TE22,22,127,259,173.4,33.3,-
163,10,Tyler Shough,NO,QB30,25,111,153,136.8,10.9,-
164,10,Cade Otton,TB,TE23,26,143,218,174.9,22.3,-
165,10,Wan'Dale Robinson,NYG,WR68,24,135,206,175.1,19.5,-
166,10,Isaac Guerendo,SF,RB45,25,144,207,175.4,17.2,-
167,10,Tank Dell,HOU,WR69,25,140,233,176.5,22.1,-
168,10,Jaylen Wright,MIA,RB46,22,150,200,177.5,15.4,-
169,10,Ray Davis,BUF,RB47,25,143,197,177.9,12.7,-
170,10,Hunter Henry,NE,TE24,30,148,231,178.1,21.1,-
171,10,Harold Fannin Jr.,CLE,TE25,21,132,243,178.9,25.3,-
172,10,Quentin Johnston,LAC,WR70,23,141,218,179.2,22.1,-
173,11,Braelon Allen,NYJ,RB48,21,137,229,180.1,21.6,-
174,11,Jalen Milroe,SEA,QB31,22,108,150,133.7,13.9,-
175,11,Jaydon Blue,DAL,RB49,21,150,245,182.5,21.7,-
176,11,Elic Ayomanor,TEN,WR71,22,137,290,184.6,39.6,-
177,11,Jalen Royals,KC,WR72,22,141,252,186.2,28.5,-
178,11,Jalen Coker,CAR,WR73,23,169,240,187.9,19.7,-
179,11,Adonai Mitchell,IND,WR74,22,158,227,181.9,17.2,-
180,11,J.K. Dobbins,DEN,RB50,26,132,222,182.5,26.1,-
181,11,Dylan Sampson,CLE,RB51,20,128,249,184.8,28.9,-
182,11,Blake Corum,LAR,RB52,24,163,219,191.9,16.6,-
